cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,C,D,D,E,C,A,P,B,A,A,B,E,F,H,F,B,BI,CS,A,AF,AE,A,K,DJ,0.54667,0.785784,0.634224,0.373816,0.310061,0.360931,0.413194,0.26847,0.46226,0.50556,0.366788,0.359249,0.345247,0.214803
A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,L,G,A,A,D,E,H,F,B,AB,C,A,J,K,A,K,DC,0.493164,0.358319,0.462347,0.83324,0.281143,0.331398,0.361715,0.566,0.39648,0.32935,0.24541,0.255941,0.295948,0.38026
B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,A,A,A,A,G,H,F,F,D,BI,CL,C,AK,A,C,J,HK,0.566704,0.737068,0.745801,0.229617,0.281143,0.505351,0.721245,0.33906,0.44352,0.57716,0.742852,0.729856,0.318646,0.462731
B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,E,E,E,A,S,A,A,A,A,E,E,J,K,I,AB,CO,C,J,N,F,O,DJ,0.21854,0.620805,0.397983,0.52423,0.281143,0.322085,0.308469,0.34987,0.31945,0.22755,0.275431,0.270746,0.503333,0.389944
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,D,B,D,A,A,A,A,D,D,C,E,A,C,T,B,A,A,A,G,F,F,I,G,BI,CO,M,AH,AE,A,N,HK,0.715803,0.488789,0.61366,0.327354,0.826714,0.719318,0.547511,0.38318,0.69854,0.76052,0.661688,0.648446,0.728429,0.233455
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,K,A,A,A,E,D,I,J,K,BI,U,A,J,BM,J,O,DJ,0.40726,0.199504,0.440642,0.534409,0.281143,0.436312,0.44376,0.6984,0.39447,0.43919,0.291268,0.286079,0.605077,0.38346
A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,D,B,D,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,B,G,C,T,L,J,A,A,O,D,E,G,G,BI,EL,A,C,Y,A,P,KB,0.960283,0.199504,0.049453,0.54456,0.491114,0.902087,0.524809,0.45883,0.97621,0.8351,0.511698,0.630853,0.872138,0.245034
A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,J,G,A,A,F,F,G,F,B,BI,CH,C,V,BM,A,K,GS,0.514906,0.15999,0.54977,0.383428,0.777274,0.420187,0.484365,0.54236,0.39849,0.45017,0.430255,0.481306,0.327393,0.392516
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,D,D,B,B,C,B,D,B,A,A,A,B,H,C,B,C,E,A,C,T,F,A,A,B,I,E,F,H,G,BI,EB,A,AS,Y,A,O,KW,0.828247,0.358319,0.201309,0.614134,0.473767,0.820147,0.460016,0.90055,0.84847,0.80218,0.550529,0.590961,0.79576,0.709659
A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,H,A,A,B,G,H,G,F,D,BI,CL,A,C,AN,E,K,HK,0.503312,0.620805,0.711159,0.229617,0.281143,0.463958,0.692003,0.37194,0.44352,0.45017,0.718299,0.705111,0.315758,0.772487
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,A,B,B,B,A,A,A,G,H,D,D,D,E,E,A,P,F,A,A,B,D,E,J,G,B,BI,EG,A,AS,BM,A,L,CK,0.347403,0.785784,0.61366,0.473202,0.939556,0.242437,0.289949,0.24564,0.30859,0.32935,0.223038,0.220003,0.333292,0.72852
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,B,B,B,C,B,C,B,A,A,A,B,A,D,D,E,E,G,E,R,I,A,A,C,G,F,G,I,F,BI,BP,A,N,BM,A,N,HG,0.629339,0.488789,0.54977,0.554673,0.82168,0.625784,0.449493,0.61229,0.64873,0.74396,0.569745,0.55738,0.689974,0.599719
A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,C,A,D,C,C,E,A,C,T,M,C,A,A,K,F,F,I,G,BI,BC,A,AN,AX,C,P,LW,0.87356,0.488789,0.230975,0.463029,0.281143,0.833936,0.521485,0.66734,0.91183,0.79863,0.81013,0.798279,0.861364,0.283752
A,B,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,I,F,A,A,E,F,J,G,B,BI,EL,G,K,AK,A,K,DK,0.325401,0.785784,0.592681,0.215482,0.317541,0.241359,0.308153,0.34445,0.34365,0.35434,0.352419,0.345316,0.327393,0.37491
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,G,A,A,B,G,H,F,G,D,BI,BT,A,I,AG,A,L,HK,0.444104,0.555782,0.844219,0.208655,0.288217,0.500353,0.695463,0.31796,0.5042,0.34928,0.812519,0.800726,0.336261,0.289708
B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,C,D,T,J,A,A,B,G,E,H,K,K,K,AI,A,AP,AW,C,R,HK,0.362003,0.299102,0.280933,0.345595,0.594196,0.538791,0.63448,0.29758,0.40252,0.2123,0.441763,0.443374,0.654753,0.35684
B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,C,G,H,G,F,B,BI,BT,A,AT,AX,C,K,HK,0.538034,0.422197,0.673861,0.432728,0.517162,0.425353,0.540533,0.3128,0.4832,0.45017,0.695685,0.682413,0.351299,0.765366
B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,I,A,A,A,D,E,I,F,B,K,EL,C,U,AE,A,J,DC,0.424162,0.078346,0.317666,0.259793,0.302678,0.26952,0.35502,0.26847,0.39447,0.36458,0.217678,0.214808,0.26115,0.301688
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,A,B,D,B,D,A,A,G,H,D,D,C,D,A,C,T,F,A,A,C,K,F,F,G,G,BI,CL,A,AL,L,A,O,LN,0.906291,0.785784,0.336963,0.761209,0.372405,0.841136,0.599487,0.97973,0.93383,0.8351,0.832976,0.832658,0.810511,0.69802
A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,J,J,A,B,H,E,G,K,K,BI,EB,A,U,Y,A,Q,GE,0.536592,0.555782,0.215772,0.50382,0.543117,0.745129,0.549344,0.56011,0.53565,0.56081,0.480509,0.481306,0.789182,0.295305
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,C,A,B,D,B,D,A,A,G,H,D,B,C,B,G,C,T,O,A,A,B,M,E,E,H,G,BI,EG,A,P,AD,A,P,KA,0.936584,0.422197,0.139862,0.642745,0.281143,0.92921,0.685975,0.82598,0.96909,0.82889,0.797841,0.810292,0.873618,0.531033
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,H,A,A,A,D,E,J,H,B,BI,EL,I,AF,AF,A,L,CR,0.31405,0.737068,0.527991,0.208655,0.577339,0.240069,0.298248,0.25461,0.34365,0.35434,0.223038,0.236124,0.351299,0.216889
A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,D,C,E,A,C,T,B,G,A,A,J,F,F,G,G,BI,CS,C,S,L,A,O,LF,0.907272,0.785784,0.397983,0.713852,0.388783,0.833936,0.502621,0.96024,0.93383,0.8351,0.742852,0.790803,0.81255,0.679277
A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,A,B,A,A,A,A,A,D,B,A,E,E,A,E,L,I,A,A,E,F,H,G,H,AB,CS,A,AV,BC,A,G,DJ,0.124258,0.555782,0.634224,0.844287,0.281143,0.270679,0.424606,0.58934,0.19464,0.42828,0.331363,0.359249,0.153597,0.313156
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,A,D,D,B,A,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,G,A,A,B,F,H,G,F,D,BI,BT,A,G,A,A,J,HB,0.477231,0.422197,0.80643,0.208655,0.281143,0.432555,0.67025,0.26847,0.41471,0.47779,0.711942,0.698722,0.30435,0.206202
A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,E,A,D,K,A,A,A,D,E,J,F,A,BI,EG,C,E,AE,E,J,CK,0.282512,0.620805,0.711159,0.412789,0.302678,0.211915,0.310367,0.29758,0.34365,0.30529,0.24541,0.241676,0.222124,0.823304
A,B,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,F,D,A,A,F,G,H,F,B,BI,EB,E,J,AS,E,K,GS,0.441242,0.358319,0.61366,0.309621,0.372405,0.315699,0.363768,0.48864,0.36285,0.36458,0.531161,0.519456,0.30435,0.386524
B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,D,B,A,B,B,B,A,A,A,G,H,D,A,D,E,G,A,P,I,A,A,B,I,E,F,D,B,AB,EL,A,E,AU,A,H,KC,0.777039,0.021677,0.129646,0.844287,0.594196,0.548419,0.35459,0.32843,0.55025,0.76052,0.415029,0.481306,0.310026,0.806688
B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,A,C,T,O,A,A,A,I,F,G,H,G,BI,EB,C,A,Y,A,O,KW,0.881655,0.299102,0.201309,0.614134,0.473767,0.648616,0.424486,0.44106,0.90264,0.81591,0.550529,0.590961,0.789182,0.400586
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,A,B,C,B,A,A,A,A,A,D,B,E,E,G,E,R,K,A,A,A,I,E,H,L,F,BI,EG,A,N,L,C,P,IH,0.484469,0.199504,0.139862,0.493605,0.332785,0.674671,0.441349,0.64027,0.4832,0.74817,0.377724,0.443374,0.832018,0.609618
B,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,J,C,A,B,F,H,G,E,A,BI,BT,A,J,A,A,J,HB,0.516355,0.299102,0.762059,0.208655,0.405415,0.425066,0.559342,0.3026,0.39447,0.39068,0.678924,0.665644,0.271571,0.386585
A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,B,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,L,F,A,B,G,F,G,I,K,BI,CO,A,E,AS,A,N,HK,0.623912,0.555782,0.65431,0.473202,0.281143,0.671825,0.581829,0.54236,0.52519,0.68997,0.689039,0.675759,0.666708,0.82338
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,A,A,D,C,C,E,C,D,T,L,D,A,A,G,F,H,K,K,BI,DX,A,AI,BM,A,O,HG,0.410063,0.422197,0.54977,0.554673,0.805895,0.513874,0.493367,0.70342,0.39447,0.46119,0.569745,0.55738,0.660756,0.345381
A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,B,B,A,A,A,B,H,D,B,D,E,C,A,P,F,C,A,A,E,E,I,G,B,BI,BS,G,AK,BM,A,L,DJ,0.475784,0.488789,0.440642,0.534409,0.78323,0.331919,0.345585,0.36083,0.39849,0.39599,0.26014,0.292356,0.363547,0.472863
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,B,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,A,D,T,K,A,A,A,K,G,F,J,K,BI,BC,A,AV,S,J,P,MD,0.640095,0.488789,0.356819,0.83884,0.585792,0.825463,0.635715,0.66201,0.64681,0.68039,0.888438,0.879347,0.802184,0.305218
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,C,B,C,C,C,C,C,C,B,C,A,A,A,A,A,E,D,C,G,E,A,N,J,A,A,A,D,D,I,H,B,BI,CO,C,AH,BM,A,L,EL,0.29201,0.737068,0.634224,0.62377,0.281143,0.314937,0.413673,0.67263,0.38249,0.29595,0.228492,0.225288,0.363547,0.234641
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,A,D,C,B,B,B,A,A,A,A,A,C,D,D,E,C,A,P,I,A,A,C,G,H,G,F,D,BI,CL,A,AV,AN,A,K,HK,0.503312,0.681761,0.711159,0.229617,0.281143,0.463958,0.688521,0.37194,0.44352,0.45017,0.718299,0.705111,0.315758,0.305184
A,B,A,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,B,H,D,B,C,D,A,C,T,F,F,A,A,K,F,F,G,G,BI,CS,C,E,AD,A,O,LN,0.907272,0.555782,0.26357,0.738221,0.281143,0.819104,0.498549,0.87698,0.93383,0.7877,0.784967,0.772574,0.784711,0.825366
